"spkid","full_name","pdes","name","pha","H","G","diameter","albedo","rot_per","epoch_mjd","e","a","q","i","om","w","ma","ad","moid","moid_jup","t_jup","class"
3797865,"       (2018 BP3)","2018 BP3",,N,28.70,,,,,59800,0.2582,1.15,0.853,1.42,306.93,103.33,291.93,1.45,0.00327,3.9,5.43,APO
3797894,"       (2018 BY4)","2018 BY4",,N,21.00,,,,,58133,0.5125,1.371,0.668,21.91,291.07,38.98,93.28,2.07,0.239,3.35,4.61,APO
3797897,"       (2018 BZ4)","2018 BZ4",,N,21.70,,,,,59800,0.2189,1.427,1.115,15.69,117.91,107.45,157.29,1.74,0.209,3.32,4.63,AMO
3797895,"       (2018 BA5)","2018 BA5",,N,24.20,,,,,59800,0.4311,1.367,0.778,4.54,338.43,42.66,353.84,1.96,0.0446,3.51,4.73,APO
3797899,"       (2018 BB5)","2018 BB5",,N,24.40,,,,,59800,0.5929,0.9564,0.389,7.96,128.87,136.21,229.38,1.52,0.0178,3.58,6.12,ATE
3797898,"       (2018 BC5)","2018 BC5",,N,23.80,,,,,59800,0.5409,2.266,1.041,4.80,120.29,41.37,110.86,3.49,0.0731,1.5,3.4,AMO
3797903,"       (2018 BD5)","2018 BD5",,N,26.00,,,,,59800,0.4385,1.644,0.923,1.76,319.34,120.69,71.17,2.37,0.0116,2.91,4.17,APO
3797910,"       (2018 BE5)","2018 BE5",,N,24.50,,,,,58142,0.4596,1.347,0.728,6.12,114.93,276.12,38.73,1.97,0.00697,3.48,4.76,APO
3797902,"       (2018 BF5)","2018 BF5",,N,24.20,,,,,59800,0.0849,0.9751,0.892,18.94,119.90,243.36,7.85,1.06,0.0232,4.1,6.15,ATE
3797901,"       (2018 BG5)","2018 BG5",,N,24.00,,,,,59800,0.2829,1.114,0.799,1.89,357.51,34.65,8.46,1.43,0.0268,4,5.56,APO
3797912,"       (2018 BH5)","2018 BH5",,N,25.20,,,,,59800,0.3314,1.04,0.695,4.09,114.83,118.47,27.71,1.38,0.0216,3.61,5.84,APO
3797900,"       (2018 BJ5)","2018 BJ5",,N,21.60,,,,,59800,0.0236,1.097,1.071,22.51,122.22,99.87,242.60,1.12,0.0761,3.91,5.59,AMO
3797908,"       (2018 BK5)","2018 BK5",,N,23.10,,,,,59800,0.0958,1.178,1.065,30.25,309.65,214.91,167.46,1.29,0.0975,3.76,5.24,AMO
3797906,"       (2018 BL5)","2018 BL5",,N,24.10,,,,,59800,0.3822,1.758,1.086,3.94,119.52,7.10,338.29,2.43,0.103,2.65,4.03,AMO
3797905,"       (2018 BM5)","2018 BM5",,N,27.30,,,,,59800,0.3923,0.765,0.465,3.15,304.16,333.93,155.89,1.07,0.00304,4.05,7.51,ATE
3797907,"       (2018 BN5)","2018 BN5",,N,25.90,,,,,58142,0.5119,2.003,0.978,8.14,123.39,38.11,348.77,3.03,0.0399,1.98,3.65,APO
3797909,"       (2018 BO5)","2018 BO5",,N,26.30,,,,,59800,0.4026,1.121,0.670,6.12,120.64,256.14,356.90,1.57,0.0135,3.9,5.49,APO
3797904,"       (2018 BP5)","2018 BP5",,N,22.50,,,,,59800,0.3256,1.5,1.012,6.73,347.98,113.34,183.30,1.99,0.0943,3.18,4.48,APO
3797911,"       (2018 BQ5)","2018 BQ5",,N,27.34,,,,,58143,0.5079,1.892,0.931,1.19,294.92,149.13,12.14,2.85,0.000659,2.41,3.79,APO
3798020,"       (2018 BW5)","2018 BW5",,N,22.00,,,,,58142,0.4071,2.123,1.259,1.07,139.33,349.71,353.69,2.99,0.274,2.09,3.62,AMO
3798018,"       (2018 BX5)","2018 BX5",,N,28.90,,,,,59800,0.3330,1.317,0.879,0.09,164.93,259.31,31.92,1.76,0.000565,3.56,4.9,APO
3798017,"       (2018 BY5)","2018 BY5",,N,26.10,,,,,58143,0.6487,2.455,0.863,3.97,117.23,318.98,9.01,4.05,0.00661,1.27,3.16,APO
3798019,"       (2018 BZ5)","2018 BZ5",,N,26.00,,,,,58145,0.5266,1.738,0.823,3.51,318.51,106.05,19.21,2.65,0.016,2.7,3.98,APO
3798966,"       (2018 BC6)","2018 BC6",,N,24.60,,,,,59800,0.5692,2.495,1.075,1.94,312.91,156.22,56.77,3.91,0.0938,1.25,3.22,AMO
3798967,"       (2018 BD6)","2018 BD6",,N,20.80,,,,,59800,0.5744,2.421,1.030,48.87,130.75,351.32,77.28,3.81,0.0508,1.32,2.88,AMO
3798969,"       (2018 BE6)","2018 BE6",,N,24.50,,,,,59800,0.5524,1.872,0.838,20.64,309.02,235.54,260.57,2.91,0.00516,2.35,3.72,APO
3798968,"       (2018 BF6)","2018 BF6",,N,25.60,,,,,58144,0.7132,2.51,0.720,2.26,105.54,305.89,11.21,4.30,0.0101,1.1,3.05,APO
3798974,"       (2018 BH6)","2018 BH6",,N,18.40,,,,,59800,0.5816,2.66,1.113,25.40,297.99,237.33,355.34,4.21,0.271,1.67,3.01,AMO
3798975,"       (2018 BJ6)","2018 BJ6",,N,28.50,,,,,59800,0.1182,1.124,0.991,6.17,123.06,353.32,296.53,1.26,0.00914,3.78,5.55,APO
3798971,"       (2018 BK6)","2018 BK6",,N,24.80,,,,,58144,0.2255,1.33,1.030,24.03,309.21,146.36,18.79,1.63,0.0753,3.52,4.81,AMO
3798972,"       (2018 BL6)","2018 BL6",,N,24.40,,,,,59800,0.5649,2.388,1.039,2.74,354.27,130.53,82.10,3.74,0.0662,1.36,3.3,AMO
3798970,"       (2018 BM6)","2018 BM6",,N,26.60,,,,,58144,0.3969,1.66,1.001,0.98,63.38,68.79,357.76,2.32,0.0224,2.74,4.17,APO
3798973,"       (2018 BN6)","2018 BN6",,N,26.80,,,,,59800,0.3437,1.113,0.730,2.10,300.14,93.41,4.13,1.49,0.00155,3.94,5.54,APO
3798984,"       (2018 BO6)","2018 BO6",,N,25.40,,,,,58147,0.5492,2.267,1.022,19.01,128.61,15.89,356.38,3.51,0.049,1.56,3.34,AMO
3798982,"       (2018 BP6)","2018 BP6",,N,24.50,,,,,59800,0.5829,2.062,0.860,8.39,135.19,51.62,176.10,3.26,0.00606,1.73,3.54,APO
3798981,"       (2018 BQ6)","2018 BQ6",,N,27.50,,,,,58147,0.5276,1.962,0.927,4.41,132.17,34.06,349.70,3.00,5.39e-05,1.98,3.69,APO
3798979,"       (2018 BR6)","2018 BR6",,N,26.30,,,,,59800,0.1960,1.22,0.981,13.12,130.44,312.93,160.01,1.46,0.0459,3.72,5.19,APO
3798980,"       (2018 BS6)","2018 BS6",,N,24.90,,,,,58147,0.2929,1.262,0.892,14.42,128.29,56.77,329.00,1.63,0.00692,3.37,5.04,APO
3798985,"       (2018 BT6)","2018 BT6",,Y,21.30,,,,16.89,59800,0.8276,2.251,0.388,3.00,307.15,71.99,135.56,4.11,0.00148,1.39,3.05,APO
3798983,"       (2018 BU6)","2018 BU6",,N,24.80,,,,,58148,0.6181,2.059,0.786,8.52,122.77,300.56,14.77,3.33,0.00567,2.08,3.51,APO
3798987,"       (2018 BY6)","2018 BY6",,N,23.30,,,,,59800,0.2798,1.209,0.871,6.57,288.26,76.11,240.64,1.55,0.0113,3.93,5.22,APO
3798988,"       (2018 BZ6)","2018 BZ6",,N,22.00,,,,,59800,0.3501,1.735,1.128,40.83,138.76,35.74,336.47,2.34,0.194,2.79,3.82,AMO
3798993,"       (2018 BA7)","2018 BA7",,Y,18.70,,,,,59800,0.4924,1.477,0.750,18.37,322.39,67.80,223.69,2.20,0.0445,3.43,4.4,APO
3798990,"       (2018 BB7)","2018 BB7",,N,20.90,,,,,59800,0.6286,2.321,0.862,8.78,83.41,345.73,112.56,3.78,0.0727,1.56,3.27,APO
3799239,"       (2018 BH7)","2018 BH7",,N,22.80,,,,,59800,0.4802,2.468,1.283,5.81,52.92,86.15,57.53,3.65,0.319,1.44,3.31,AMO
3799261,"       (2018 BJ7)","2018 BJ7",,N,24.10,,,,,59800,0.6335,2.638,0.967,2.75,122.95,61.56,9.85,4.31,0.0307,0.651,3.07,APO
3799260,"       (2018 BK7)","2018 BK7",,N,23.40,,,,,59800,0.4371,1.661,0.935,5.59,0.67,198.41,11.84,2.39,0.0251,2.57,4.14,APO
3799654,"       (2018 BE11)","2018 BE11",,N,25.54,,,,,58135,0.3070,1.512,1.048,3.71,87.32,17.38,7.46,1.98,0.0665,3.17,4.47,AMO
3799655,"       (2018 BF11)","2018 BF11",,N,26.46,,,,,58135,0.4271,1.748,1.002,1.89,324.12,127.98,9.77,2.49,0.0308,2.73,4.02,APO
3799656,"       (2018 BG11)","2018 BG11",,N,27.30,,,,,58135,0.2891,1.41,1.002,4.48,103.26,346.97,14.90,1.82,0.0221,3.38,4.68,APO
3799660,"       (2018 BL11)","2018 BL11",,N,28.20,,,,,59800,0.4952,1.676,0.846,2.07,302.48,122.96,52.41,2.51,0.0016,2.84,4.09,APO
3798989,"       (2018 CA)","2018 CA",,N,23.50,,,,,59800,0.3869,1.636,1.003,9.69,128.98,32.86,44.06,2.27,0.05,2.73,4.2,APO
