"spkid","full_name","name","prefix","epoch_mjd","a","e","i","om","w","ma","H","G","diameter","albedo","rot_per","q","moid"
3837926,"       (2019 BK)",,,59800,2.055,0.7282,4.13,264.52,121.09,91.30,21.03,,,,2.86,0.559,0.0332
3837925,"       (2019 BL)",,,59800,1.321,0.2509,6.60,287.70,144.91,151.18,25.20,,,,,0.990,0.0336
3837934,"       (2019 BO)",,,59800,1.636,0.4215,2.79,295.61,150.06,264.09,28.10,,,,,0.946,0.000972
3837949,"       (2019 BZ)",,,59800,1.087,0.2717,6.74,305.11,92.20,99.90,27.60,,,,,0.792,0.000773
3837954,"       (2019 BB1)",,,59800,1.446,0.4228,5.79,34.59,18.23,47.45,21.70,,,,,0.835,0.0712
3837956,"       (2019 BC1)",,,59800,2.533,0.6345,17.74,118.20,328.72,326.91,20.30,,,,,0.926,0.0013
3837961,"       (2019 BE1)",,,59800,2.855,0.6423,0.57,242.36,232.41,266.73,24.70,,,,,1.021,0.0399
3837953,"       (2019 BF1)",,,59800,1.333,0.3130,11.57,337.57,215.28,68.19,22.43,,,,,0.916,0.0241
3837959,"       (2019 BG1)",,,59800,2.868,0.6663,8.06,312.36,130.97,269.02,22.90,,,,0.1208,0.957,0.0542
3837960,"       (2019 BH1)",,,58503,2.022,0.7187,0.39,188.51,34.20,339.52,24.00,,,,,0.569,0.00541
3837962,"       (2019 BJ1)",,,59800,2.267,0.6699,0.36,148.00,47.94,359.94,24.90,,,,,0.748,0.00193
3837977,"       (2019 BN1)",,,59800,1.579,0.6285,13.35,50.09,319.67,319.18,21.20,,,,,0.586,0.162
3837973,"       (2019 BO1)",,,59800,1.027,0.3023,22.35,80.65,196.89,29.05,19.73,,,,,0.716,0.278
3837975,"       (2019 BP1)",,,59800,2.548,0.6302,23.73,34.33,18.01,330.38,19.90,,,,,0.942,0.0314
3837974,"       (2019 BQ1)",,,59800,1.511,0.3195,1.82,0.40,115.61,329.09,25.40,,,,,1.028,0.0538
3837976,"       (2019 BR1)",,,59800,1.214,0.3500,18.10,259.64,333.87,156.37,20.60,,,,,0.789,0.188
3837979,"       (2019 BS1)",,,59800,1.066,0.2057,22.82,122.49,274.82,140.68,26.30,,,,,0.847,0.0183
3837978,"       (2019 BT1)",,,58508,1.539,0.4362,6.01,109.24,311.27,25.19,25.30,,,,,0.868,0.00575
3837980,"       (2019 BU1)",,,59800,1.842,0.5735,5.42,121.90,295.55,167.24,26.27,,,,,0.785,0.00177
3837981,"       (2019 BV1)",,,59800,1.6,0.5205,8.25,124.63,290.42,291.47,28.80,,,,,0.767,0.00143
3837982,"       (2019 BW1)",,,59800,2.129,0.5431,7.32,125.85,33.37,40.74,24.80,,,,,0.973,0.0278
3838016,"       (2019 BX1)",,,59800,1.268,0.2314,3.09,111.35,337.76,194.00,28.15,,,,,0.975,0.00422
3837991,"       (2019 BF2)",,,59800,1.363,0.5694,13.32,219.42,19.21,24.02,20.49,,,,,0.587,0.206
3837989,"       (2019 BG2)",,,59800,1.265,0.2760,14.22,328.99,65.54,235.09,21.90,,,,,0.916,0.0281
3837986,"       (2019 BJ2)",,,59800,1.339,0.2384,5.95,1.36,127.78,100.66,23.30,,,,,1.020,0.0696
3837992,"       (2019 BK2)",,,59800,1.173,0.4793,2.74,132.22,252.65,326.55,26.80,,,,,0.611,0.00622
3837984,"       (2019 BL2)",,,59800,1.206,0.1686,7.42,306.71,142.90,265.92,27.00,,,,,1.003,0.0428
3837996,"       (2019 BM2)",,,59800,1.261,0.2340,19.54,305.21,149.69,197.07,26.20,,,,,0.966,0.0085
3837985,"       (2019 BN2)",,,59800,1.193,0.4394,11.95,123.73,263.60,303.89,26.50,,,,,0.669,0.0121
3837987,"       (2019 BO2)",,,59800,1.211,0.3387,26.00,125.64,281.20,278.26,26.10,,,,,0.801,0.0184
3837990,"       (2019 BP2)",,,58508,1.947,0.5554,2.26,305.97,124.13,14.41,26.60,,,,,0.865,0.00499
3837995,"       (2019 BQ2)",,,59800,2.128,0.5851,10.20,125.80,46.24,39.17,27.00,,,,,0.883,0.00664
